Name,Country,Latitude,Longitude,Temperature(F),Wind Speed(mph),Cloud Coverage,Humidity
Buala,SB,-8.145,159.5921,83.04800000000003,1.96,33,71
Nkoteng,CM,4.5167,12.0333,75.434,3.4,0,79
Atlantic City,US,39.3643,-74.4229,46.66999999999996,6.17,1,23
Dingle,PH,10.9995,122.6711,74.33599999999997,3.39,1,89
Kahului,US,20.8947,-156.47,73.66999999999996,8.75,40,83
Dauriya,RU,49.9333,116.8667,3.7580000000000027,3.8,0,87
Panguipulli,CL,-39.6333,-72.3333,79.06999999999996,2.06,0,36
Portland,US,45.5234,-122.6762,52.26799999999999,5.14,90,50
Royan,FR,45.6285,-1.0281,43.06999999999996,3.09,0,56
Dourbali,TD,11.8091,15.8632,81.82400000000001,4.62,0,13
Eureka,US,40.8021,-124.1637,51.27799999999996,4.47,93,67
Alma,CA,48.5501,-71.6491,26.86999999999996,3.09,75,53
Olutanga,PH,7.3106,122.8464,80.47400000000002,2.24,97,75
Jimo,CN,36.3897,120.4622,42.27799999999996,1.0,0,87
Taree,AU,-31.9,152.4667,67.26199999999996,0.77,85,100
Barra de Tecoanapa,MX,16.5167,-98.75,84.91999999999996,5.32,39,59
Rodolfo Sánchez Taboada,MX,31.7167,-116.5667,62.27599999999999,1.79,88,77
Gombong,ID,-7.6072,109.5142,76.316,0.53,99,86
Chernyshevskiy,RU,63.0128,112.4714,0.44599999999999795,3.3,99,95
Şebinkarahisar,TR,40.2883,38.4236,25.64600000000005,0.59,13,92
Ishigaki,JP,24.3448,124.1572,68.26999999999995,2.57,40,88
Najrān,SA,17.4924,44.1277,68.26999999999995,2.47,0,30
Awka,NG,6.2101,7.0741,77.792,2.65,65,79
Charlottesville,US,38.0293,-78.4767,62.86999999999996,2.06,1,11
Palu,ID,-0.8917,119.8707,74.75,0.93,96,81
Tezu,IN,27.9167,96.1667,65.78599999999997,1.72,50,42
Moroto,UG,2.5345,34.6666,69.674,0.94,5,53
Caravelas,BR,-17.7125,-39.2481,78.87200000000004,3.76,80,79
Tual,ID,-5.6667,132.75,83.20999999999998,6.77,93,76
Bay Roberts,CA,47.5999,-53.2648,30.272000000000038,0.45,85,59
Riachão,BR,-7.3619,-46.6172,77.21600000000001,1.17,98,81
Muhafazat Lahij,YE,13.1667,44.5833,71.97799999999997,1.47,0,50
Poronaysk,RU,49.2167,143.1167,18.42799999999996,2.82,100,92
State College,US,40.7934,-77.86,49.26199999999996,3.6,75,21
Port Blair,IN,11.6667,92.75,79.53800000000004,3.02,0,77
Sabla,NG,12.7525,4.7077,81.10399999999996,2.55,31,15
Almaznyy,RU,48.0448,40.045,35.86999999999996,6.0,75,80
Hamada,JP,34.8833,132.0833,40.26199999999996,0.89,99,30
Jelgava,LV,56.65,23.7128,21.469999999999956,0.51,90,86
Ancud,CL,-41.8697,-73.8203,61.26799999999999,3.6,0,59
Jatai,BR,-17.8814,-51.7144,70.23200000000003,1.75,46,88
Egvekinot,RU,66.3167,-179.1667,-13.594000000000023,1.81,100,92
Tabuk,PH,17.4189,121.4443,67.38800000000005,0.44,41,87
Olafsvik,IS,64.8945,-23.7142,37.36400000000003,2.61,89,80
Bayanday,RU,53.0661,105.5139,9.841999999999995,1.73,46,90
Cherskiy,RU,68.75,161.3,-18.57999999999999,3.72,100,87
Guerrero Negro,MX,27.9769,-114.0611,64.4,7.97,100,57
Paamiut,GL,61.994,-49.6678,23.053999999999952,5.49,100,95
Khovd,MN,48.0056,91.6419,29.803999999999952,4.51,100,65
Oranjemund,NA,-28.55,16.4333,61.66400000000003,3.03,33,73
Esim,GH,4.8699,-2.2405,81.24800000000002,3.67,96,84
Alcúdia,ES,39.8532,3.1214,52.26799999999999,1.34,100,89
Muncar,ID,-8.4333,114.3333,74.26400000000004,1.43,1,86
Tilichiki,RU,60.4667,166.1,-20.02000000000001,1.14,95,86
Zabaykal'sk,RU,49.6333,117.3167,5.432000000000016,4.66,0,88
Hargeisa,SO,9.56,44.065,61.141999999999996,2.58,0,70
Emba,KZ,48.8264,58.1442,12.29000000000002,5.04,10,91
Kawalu,ID,-7.3817,108.2082,72.15800000000002,0.49,100,88
Srednekolymsk,RU,67.45,153.6833,-15.448000000000029,4.62,97,87
Palmer,US,42.1584,-72.3287,41.26999999999996,2.57,20,17
Gaoyou,CN,32.7858,119.4278,45.266000000000005,2.67,100,97
Palaia Fokaia,GR,37.72,23.9463,56.26400000000004,1.01,40,87
La Asuncion,VE,11.0333,-63.8628,77.37799999999996,7.59,39,81
Ostrovnoy,RU,68.0531,39.5131,-0.6700000000000088,4.68,100,91
Camopi,GF,3.1655,-52.3158,74.46199999999996,1.99,97,94
Hamilton,US,39.1834,-84.5333,66.46999999999997,3.6,1,27
Seoul,KR,37.5683,126.9778,34.06999999999996,1.03,92,86
Menomonie,US,44.8755,-91.9193,55.66999999999996,2.06,1,30
Saint-Pierre,RE,-21.3393,55.4781,77.26999999999995,3.6,0,73
Mihara,JP,34.4,133.0833,35.86999999999996,3.09,75,80
Ocaña,CO,8.2377,-73.356,75.16400000000004,3.67,93,64
Lorengau,PG,-2.0226,147.2712,80.78000000000004,3.85,100,80
Tiznit Province,MA,29.5833,-9.5,52.016000000000005,3.5,82,83
Ust'-Omchug,RU,61.15,149.6333,-24.466000000000008,0.39,0,75
Santa Helena de Goiás,BR,-17.8136,-50.5969,72.06799999999998,1.85,100,87
Garbolovo,RU,60.3413,30.4955,10.274000000000012,1.68,98,86
Yar-Sale,RU,66.8333,70.8333,-28.624000000000017,3.85,81,84
Sukumo,JP,32.9333,132.7333,51.78200000000002,0.45,100,80
Ulan-Ude,RU,51.8261,107.6098,12.46999999999996,4.0,26,79
Ambon City,ID,-3.6954,128.1814,77.26999999999995,2.57,20,83
Mirpur Sakro,PK,24.5474,67.6277,73.66999999999996,4.12,40,78
Pangkalanbuun,ID,-2.6833,111.6167,72.608,1.08,86,97
Pemangkat,ID,1.1667,108.9667,77.16199999999995,2.54,100,85
Tazovsky,RU,67.4667,78.7,-15.070000000000014,4.59,100,89
Yashan,CN,22.1975,109.9419,67.69399999999997,1.9,98,85
Sibolga,ID,1.7427,98.7792,75.57799999999997,1.33,100,78
Inhambane,MZ,-23.865,35.3833,74.96600000000001,4.29,0,74
Srivaikuntam,IN,8.6167,77.9333,78.458,3.47,100,81
Maumere,ID,-8.6199,122.2111,79.26799999999999,1.44,35,78
Sakhipur,BD,24.3,90.1833,79.06999999999996,4.12,40,73
Turtas,RU,58.9417,69.1325,8.059999999999977,3.04,95,95
Mchinji,MW,-13.7984,32.8802,64.32799999999997,0.67,100,99
Kailua,US,21.4022,-157.7394,75.46999999999997,5.66,75,73
Santa Rosa,PH,14.3122,121.1114,79.06999999999996,1.03,20,73
Acaraú,BR,-2.8856,-40.12,80.6,6.23,100,80
Hearst,CA,49.6835,-83.6665,37.66999999999996,3.6,100,70
Boulsa,BF,12.6675,-0.5758,89.36600000000001,3.3,48,15
Lukovetskiy,RU,64.2956,41.9211,-18.12999999999999,1.0,0,76
Sanming,CN,26.2486,117.6186,60.674000000000014,1.01,86,86
Mossamedes,AO,-15.1961,12.1522,77.28800000000004,1.39,36,69
South Kazakhstan Region,KZ,43.0,68.0,43.285999999999966,4.61,0,73
Leningradskiy,RU,69.3833,178.4167,-12.136000000000017,1.11,100,87
Tuntum,BR,-5.2581,-44.6489,77.108,0.92,74,89
Strzelce Krajeńskie,PL,52.8773,15.5298,31.261999999999954,1.63,39,55
Marfino,RU,55.7028,37.3822,16.069999999999958,4.0,75,73
Masallātah,LY,32.6167,14.0,57.57799999999996,5.73,64,94
Strezhevoy,RU,60.7333,77.5889,-7.329999999999991,3.0,0,92
Gladstone,AU,-23.85,151.25,75.46999999999997,0.5,40,73
Monte Alegre,BR,-2.0078,-54.0692,78.02599999999998,2.12,99,89
Karpogory,RU,64.0019,44.4451,-25.617999999999988,2.41,7,86
Mezhdurechenskiy,RU,59.6,65.9333,8.185999999999968,2.6,99,95
Nuevo Progreso,MX,23.1667,-97.95,75.27200000000005,1.34,78,61
Narsaq,GL,60.9167,-46.05,28.66999999999996,1.23,90,80
Makkah al Mukarramah,SA,21.4267,39.8261,77.28800000000004,1.48,0,48
Boissevain,CA,49.2306,-100.0559,58.26199999999996,6.69,75,38
Lata,PT,40.1629,-8.3327,55.274000000000015,2.24,0,82
Endicott,US,42.0984,-76.0494,40.26199999999996,2.02,38,32
Mastic Beach,US,40.7668,-72.8521,41.26999999999996,3.6,1,28
Loei,TH,17.4167,101.5,78.27799999999996,0.44,0,69
Prado,BR,-17.3411,-39.2208,78.89000000000001,5.27,76,78
Curillo,CO,1.0333,-75.9191,70.96999999999997,0.29,100,97
Panama City,PA,8.9936,-79.5197,82.66999999999996,4.12,75,83
Perleberg,DE,53.0667,11.8667,32.26999999999996,1.64,100,70
Hailey,US,43.5196,-114.3153,41.26999999999996,5.14,90,60
Ixtapa,MX,20.7,-105.2,80.86999999999996,5.66,1,61
Diamantino,BR,-14.4086,-56.4461,71.618,3.45,100,92
Gorontalo,ID,0.5412,123.0595,74.94800000000004,1.45,98,88
Yangi Marg`ilon,UZ,40.4272,71.7189,46.66999999999996,1.36,100,66
Neuquén,AR,-38.9516,-68.0591,82.66999999999996,3.09,0,23
Aitape,PG,-3.1374,142.3475,77.792,2.19,73,83
Marawi,PH,7.9986,124.2928,72.26600000000002,3.13,70,91
Imeni Zhelyabova,RU,58.9544,36.5956,-2.974000000000011,2.31,73,92
Waddān,LY,29.1614,16.139,74.51600000000002,1.72,91,20
São João da Barra,BR,-21.6403,-41.0511,75.46999999999997,6.17,90,88
Fonte Boa,BR,-2.4959,-66.2662,78.11600000000001,1.74,93,90
Izumo,JP,35.3667,132.7667,34.06999999999996,4.63,75,86
Djibo,BF,14.1022,-1.6306,86.50399999999996,2.36,1,15
Gweta,BW,-20.1833,25.2333,77.35999999999999,2.15,42,45
Bima,ID,-8.4667,118.7167,76.08200000000002,0.97,76,86
Chapais,CA,49.7834,-74.8492,25.069999999999958,7.2,40,50
Kupang,ID,-10.1667,123.5833,75.46999999999997,2.06,75,94
Moyale,KE,3.5167,39.0584,70.89800000000002,4.33,0,36
Mazatlán,MX,23.2167,-106.4167,80.86999999999996,5.14,1,50
Luanda,AO,-8.8368,13.2343,80.09600000000006,3.47,98,86
Baghmara,IN,23.795,86.2085,71.24000000000002,0.41,0,28
Lac du Bonnet,CA,50.2536,-96.0612,46.13000000000004,3.55,0,62
São Gabriel da Cachoeira,BR,-0.1303,-67.0892,88.06999999999996,1.03,20,66
São Miguel do Araguaia,BR,-13.275,-50.1628,73.32799999999997,2.39,99,95
Tartous,SY,34.889,35.8866,62.86999999999996,6.17,40,63
Lagoa,PT,39.05,-27.9833,59.342,1.91,51,93
Makakilo City,US,21.3469,-158.0858,79.06999999999996,5.66,40,61
Eilat,IL,29.5581,34.9482,62.86999999999996,4.12,0,48
Teshie,GH,5.5836,-0.1072,84.46999999999997,5.66,20,84
Zhuhai,CN,22.2769,113.5678,68.26999999999995,5.14,40,83
Iquique,CL,-20.2208,-70.1431,75.46999999999997,8.23,0,60
High Level,CA,58.5169,-117.136,19.66999999999996,5.14,75,63
North Bend,US,43.4065,-124.2243,48.469999999999956,6.69,75,76
Garoua Boulaï,CM,5.8833,14.55,70.10600000000002,0.93,51,30
Cabra,ES,37.4725,-4.4421,49.26199999999996,1.05,49,81
Waipawa,NZ,-41.4122,175.5153,64.27400000000002,3.09,13,63
Bagdarin,RU,54.4333,113.6,-2.667999999999985,1.1,6,80
Koson,UZ,39.0375,65.585,44.86999999999996,3.09,0,87
Kattivākkam,IN,13.2167,80.3167,77.26999999999995,1.52,40,88
Long Beach,US,33.767,-118.1892,66.46999999999997,4.12,20,52
Souillac,MU,-20.5167,57.5167,77.26999999999995,1.54,20,94
Nhulunbuy,AU,-12.2333,136.7667,77.26999999999995,1.54,90,88
Turaif,SA,31.6725,38.6637,50.26999999999996,5.14,0,76
Ozernovskiy,RU,51.5,156.5167,19.472000000000037,7.06,100,89
Aykhal,RU,66.0,111.5,-8.967999999999982,3.68,32,89
Ambalavao,MG,-21.8333,46.9333,62.99600000000005,1.23,37,92
Beira,MZ,-19.8436,34.8389,75.46999999999997,2.06,20,94
Bereda,ES,43.2686,-7.5406,41.26999999999996,3.13,48,96
